colnames.pwSums.,expected,detected
cluster_1_pos.cluster_1_neg.,9.28864239209067,0
cluster_1_pos.cluster_2_pos.,25.2857487340246,0
cluster_1_pos.cluster_2_neg.,20.5124186158669,287
cluster_1_pos.cluster_3_pos.,24.3052809259706,0
cluster_1_pos.cluster_3_neg.,25.8791897757415,224
cluster_1_pos.cluster_4_pos.,4.41210513624307,0
cluster_1_pos.cluster_4_neg.,167.969616590306,310
cluster_1_pos.aba_0.5hr_upx.,65.0979020979021,99
cluster_1_pos.aba_4.0hr_upx.,60.6083916083916,165
cluster_1_pos.aba_0.5hr_downx.,107.696648179407,260
cluster_1_pos.aba_4.0hr_upx.1.,48.9201832650108,64
cluster_1_pos.cold_0.5hr_upx.,78.2826139377863,198
cluster_1_pos.cold_4.0hr_upx.,73.2770677598264,182
cluster_1_pos.cold_0.5hr_downx.,102.355678803955,180
cluster_1_pos.cold_4.0hr_downx.,97.9177718832891,193
cluster_1_pos.drought_0.5hr_upx.,65.6655413551965,128
cluster_1_pos.drought_4.0hr_upx.,93.7378828068483,163
cluster_1_pos.drought_0.5hr_downx.,94.537738123945,225
cluster_1_pos.drought_4hr_downx.,10.939956595129,5
cluster_1_pos.salt_0.5hr_upx.,63.5239932481312,125
cluster_1_pos.salt_4.0hr_upx.,65.5881360019291,119
cluster_1_pos.salt_0.5hr_downx.,103.155534121051,236
cluster_1_pos.salt_4hr_downx.,111.360501567398,269
cluster_1_pos.sporeUpx.,2.50277308897999,1
cluster_1_pos.caulonemaUpx.,4.51531227393296,16
cluster_1_pos.chloronemaUpx.,1.70291777188329,7
cluster_1_pos.gamUpx.,2.99300699300699,8
cluster_1_pos.rhizUpx.,1.10947673016639,4
cluster_1_neg.cluster_2_pos.,12.1533638775018,174
cluster_1_neg.cluster_2_neg.,9.85910641083055,24
cluster_1_neg.cluster_3_pos.,11.6821109924558,170
cluster_1_neg.cluster_3_neg.,12.4385958868717,48
cluster_1_neg.cluster_4_pos.,2.12063798270695,17
cluster_1_neg.cluster_4_neg.,80.7330600434049,145
cluster_1_neg.aba_0.5hr_upx.,31.2887112887113,35
cluster_1_neg.aba_4.0hr_upx.,29.1308691308691,10
cluster_1_neg.aba_0.5hr_downx.,51.7634090047883,12
cluster_1_neg.aba_4.0hr_upx.1.,23.5130386854525,14
cluster_1_neg.cold_0.5hr_upx.,37.6258224534087,32
cluster_1_neg.cold_4.0hr_upx.,35.2199524613318,32
cluster_1_neg.cold_0.5hr_downx.,49.1963209204588,16
cluster_1_neg.cold_4.0hr_downx.,47.0632815460402,10
cluster_1_neg.drought_0.5hr_upx.,31.5615419063695,28
cluster_1_neg.drought_4.0hr_upx.,45.0542560887388,42
