Comparison,Expected_Overlap,Observed_Overlap,(Obs - Exp)^2/Exp
cluster_1_pos.cluster_1_neg.,9.28864239209067,0,9.28864239209067
cluster_1_pos.cluster_2_pos.,25.2857487340246,0,25.2857487340246
cluster_1_pos.cluster_2_neg.,20.5124186158669,287,3462.07984352623
cluster_1_pos.cluster_3_pos.,24.3052809259706,0,24.3052809259706
cluster_1_pos.cluster_3_neg.,25.8791897757415,224,1516.73432530374
cluster_1_pos.cluster_4_pos.,4.41210513624307,0,4.41210513624307
cluster_1_pos.cluster_4_neg.,167.969616590306,310,120.096897409176
cluster_1_pos.aba_0.5hr_upx.,65.0979020979021,99,17.6557493425041
cluster_1_pos.aba_4.0hr_upx.,60.6083916083916,165,179.803614869035
cluster_1_pos.aba_0.5hr_downx.,107.696648179407,260,215.385635188439
cluster_1_pos.aba_4.0hr_upx.1.,48.9201832650108,64,4.64840598672701
cluster_1_pos.cold_0.5hr_upx.,78.2826139377863,198,183.083469044089
cluster_1_pos.cold_4.0hr_upx.,73.2770677598264,182,161.314806340845
cluster_1_pos.cold_0.5hr_downx.,102.355678803955,180,58.8989363798907
cluster_1_pos.cold_4.0hr_downx.,97.9177718832891,193,92.3287972117464
cluster_1_pos.drought_0.5hr_upx.,65.6655413551965,128,59.1723551553912
cluster_1_pos.drought_4.0hr_upx.,93.7378828068483,163,51.1771840202838
cluster_1_pos.drought_0.5hr_downx.,94.537738123945,225,180.038174295026
cluster_1_pos.drought_4hr_downx.,10.939956595129,5,3.22515761787632
cluster_1_pos.salt_0.5hr_upx.,63.5239932481312,125,59.4940464682926
cluster_1_pos.salt_4.0hr_upx.,65.5881360019291,119,43.4960861773006
cluster_1_pos.salt_0.5hr_downx.,103.155534121051,236,171.078093531598
cluster_1_pos.salt_4hr_downx.,111.360501567398,269,223.151037543076
cluster_1_pos.sporeUpx.,2.50277308897999,1,0.902329886359309
cluster_1_pos.caulonemaUpx.,4.51531227393296,16,29.2112802312093
cluster_1_pos.chloronemaUpx.,1.70291777188329,7,16.477061074064
cluster_1_pos.gamUpx.,2.99300699300699,8,8.37618456310045
cluster_1_pos.rhizUpx.,1.10947673016639,4,7.53068950999686
cluster_1_neg.cluster_2_pos.,12.1533638775018,174,2155.31550673464
cluster_1_neg.cluster_2_neg.,9.85910641083055,24,20.2822510649186
cluster_1_neg.cluster_3_pos.,11.6821109924558,170,2145.55006333971
cluster_1_neg.cluster_3_neg.,12.4385958868717,48,101.668506156064
cluster_1_neg.cluster_4_pos.,2.12063798270695,17,104.400381322538
cluster_1_neg.cluster_4_neg.,80.7330600434049,145,51.1592099836677
cluster_1_neg.aba_0.5hr_upx.,31.2887112887113,35,0.440211927280893
cluster_1_neg.aba_4.0hr_upx.,29.1308691308691,10,12.5636537673575
cluster_1_neg.aba_0.5hr_downx.,51.7634090047883,12,30.5452968821242
cluster_1_neg.aba_4.0hr_upx.1.,23.5130386854525,14,3.84883920115806
cluster_1_neg.cold_0.5hr_upx.,37.6258224534087,32,0.841174390711817
cluster_1_neg.cold_4.0hr_upx.,35.2199524613318,32,0.294381256323947
cluster_1_neg.cold_0.5hr_downx.,49.1963209204588,16,22.3999620710624
cluster_1_neg.cold_4.0hr_downx.,47.0632815460402,10,29.1880802577954
cluster_1_neg.drought_0.5hr_upx.,31.5615419063695,28,0.401899906806077
cluster_1_neg.drought_4.0hr_upx.,45.0542560887388,42,0.207049923035572
cluster_1_neg.drought_0.5hr_downx.,45.4386992318027,13,23.1579958414582
cluster_1_neg.drought_4hr_downx.,5.25819008577629,0,5.25819008577629
cluster_1_neg.salt_0.5hr_upx.,30.5322263942954,26,0.672767056810028
cluster_1_neg.salt_4.0hr_upx.,31.5243377312343,20,4.21294687539024
cluster_1_neg.salt_0.5hr_downx.,49.5807640635227,16,22.7440568210125
cluster_1_neg.salt_4hr_downx.,53.5244066278549,12,32.214768073638
